Frame,mixamorig:LeftHand,mixamorig:RightHand,mixamorig:Head
333,0.3211679,0.2209143,0.124989
334,0.2943748,0.2180322,0.1265535
335,0.2850876,0.2302004,0.1288462
336,0.2775305,0.2368777,0.1304831
337,0.2596425,0.189325,0.1310502
338,0.2430858,0.1880302,0.1324892
339,0.2318115,0.2043204,0.1353021
340,0.2160577,0.1973349,0.1402808
341,0.207332,0.204901,0.1403244
342,0.2035188,0.2081344,0.1370828
343,0.2061516,0.1824401,0.1372483
344,0.2098197,0.1579314,0.1336735
345,0.205726,0.1321783,0.1301194
346,0.2034088,0.1512505,0.1279936
347,0.2175725,0.1826528,0.1295511
348,0.2180854,0.1974952,0.1305195
349,0.2218751,0.1789508,0.1327825
350,0.2318875,0.1418384,0.1339267
351,0.2316858,0.06909869,0.1278386
352,0.2320585,0.04451749,0.1262614
353,0.2249578,0.09301738,0.1318729
354,0.2241897,0.1115737,0.1353345
355,0.2568637,0.1203431,0.1356064
356,0.2594536,0.1316446,0.1374678
357,0.2564293,0.1387289,0.1359698
358,0.2462888,0.1447435,0.1337335
359,0.2048666,0.14561,0.1396342
360,0.160233,0.1393291,0.1459668
361,0.1332443,0.1464904,0.1477686
362,0.1328953,0.1603306,0.1477505
363,0.1390414,0.1724935,0.1452037
364,0.1514066,0.1874418,0.142405
365,0.163741,0.1948967,0.1434367
366,0.1972902,0.1847339,0.1420071
367,0.2384096,0.1616327,0.1392425
368,0.2673784,0.1443699,0.1365597
369,0.2545313,0.1414676,0.1251829
370,0.2035958,0.1632565,0.1167121
371,0.1702891,0.1767478,0.1163388
372,0.1511105,0.1563686,0.1153973
373,0.1599762,0.16886,0.1133109
374,0.2420879,0.19247,0.1134778
375,0.3296618,0.1992212,0.1105854
376,0.3298587,0.1932511,0.1093758
377,0.3373922,0.1673345,0.1116384
378,0.320815,0.147941,0.1150122
379,0.3284474,0.1506053,0.1135002
380,0.3462088,0.1353875,0.1031251
381,0.3620429,0.09900636,0.0943566
382,0.316543,0.04105312,0.08446626
383,0.3255102,0.05556084,0.0796745
384,0.3337117,0.05508636,0.08234669
385,0.3154745,0.05550881,0.08376971
386,0.3093058,0.06607095,0.08757917
387,0.3096475,0.08614117,0.08994897
388,0.3153471,0.1042662,0.08734798
389,0.352568,0.1431209,0.08298039
390,0.3616766,0.1975187,0.07758641
391,0.3310556,0.2237125,0.07984661
392,0.315345,0.2218399,0.08418149
393,0.3081179,0.1972825,0.08682507
394,0.3137627,0.1631785,0.08769785
395,0.3100576,0.1493023,0.09216624
396,0.3109573,0.152359,0.09328871
397,0.3193901,0.1543094,0.08839113
398,0.3262358,0.1406561,0.08071009
399,0.3654504,0.1556997,0.08086104
400,0.3903013,0.1848426,0.08773108
401,0.3880492,0.1884746,0.08758505
402,0.3685158,0.1919253,0.08149029
403,0.3503734,0.1738238,0.08216692
404,0.3287347,0.1357442,0.08291163
405,0.3343067,0.1204408,0.08361121
406,0.3460787,0.1261577,0.08845939
407,0.3247918,0.1422031,0.0827773
408,0.3076573,0.1876923,0.08204688
409,0.2995031,0.2169287,0.08426894
410,0.2999142,0.2481945,0.08895127
411,0.3024478,0.2901339,0.09359985
412,0.2966163,0.327838,0.09825826
413,0.2981765,0.351434,0.09863051
414,0.3056398,0.3743932,0.09579481
415,0.2984424,0.3515063,0.09214342
416,0.2744867,0.3141832,0.08665249
417,0.2733913,0.2887749,0.08670538
418,0.2674814,0.2736896,0.09404084
419,0.2635701,0.2249859,0.09819592
420,0.2688562,0.1724606,0.1020424
421,0.2778407,0.1700759,0.09880827
422,0.2868694,0.1907969,0.08996245
423,0.2875678,0.2425182,0.08149297
424,0.272922,0.3048055,0.08507909
425,0.2455159,0.3436163,0.08621404
426,0.2650115,0.3513035,0.08739141
427,0.2722181,0.3373517,0.08512546
428,0.2633442,0.3247369,0.08553254
429,0.2407207,0.3077975,0.08832838
430,0.2109479,0.2952248,0.09169338
431,0.2119727,0.2868088,0.09523858
432,0.2079759,0.2781378,0.09492292
433,0.2577981,0.2825945,0.08851995
434,0.2953568,0.305922,0.08061276
435,0.3069748,0.3000434,0.0778239
436,0.2866103,0.2819861,0.07828704
437,0.2718799,0.2338673,0.07611976
438,0.2676021,0.202048,0.07370341
439,0.2918254,0.1962903,0.07527394
440,0.3041332,0.1987218,0.0777645
441,0.3064822,0.2086655,0.07487211
442,0.3014638,0.2358052,0.06836773
443,0.291997,0.2450035,0.06255247
444,0.2777638,0.2352752,0.05376051
445,0.2644837,0.2081554,0.05202946
446,0.2663682,0.1818806,0.05445243
447,0.2517223,0.1571541,0.06068415
448,0.2155538,0.1656671,0.07024093
449,0.2089149,0.1530041,0.07792574
450,0.2076882,0.1673933,0.08462105
451,0.1713064,0.1841771,0.0928701
452,0.1094488,0.1837509,0.1001981
453,0.1046079,0.1888613,0.1046748
454,0.1429659,0.1847164,0.1147473
455,0.1633223,0.1614016,0.1240062
456,0.1766063,0.1325038,0.1288887
457,0.2096712,0.0919078,0.1302109
458,0.2594109,0.1399474,0.1346819
459,0.2958983,0.1961661,0.1348831
460,0.3170357,0.2282636,0.1333968
461,0.3074448,0.2296862,0.1345321
462,0.2758476,0.2317391,0.1382727
463,0.2682885,0.2365056,0.1397118
464,0.2744475,0.2313223,0.1385626
465,0.2533984,0.2164498,0.1397648
466,0.2137032,0.2155908,0.1393055
467,0.1993262,0.2321604,0.1432617
468,0.2091145,0.2570381,0.1466715
469,0.2328913,0.3003394,0.1474586
470,0.2683443,0.3488326,0.1473822
471,0.2839874,0.364881,0.1480588
472,0.2727261,0.3799652,0.1531224
473,0.2585883,0.3758871,0.1607585
474,0.2457238,0.3550099,0.1744591
475,0.2070321,0.3509881,0.1811822
476,0.1713347,0.3620556,0.1813701
477,0.1864718,0.372575,0.1982621
478,0.2336072,0.3902386,0.2128953
479,0.2708815,0.3971013,0.2196829
480,0.3172839,0.3694911,0.2199984
481,0.3132067,0.3445954,0.2201235
482,0.2806759,0.3276314,0.2220456
483,0.3006972,0.3085809,0.2341843
484,0.3503408,0.2811178,0.2486856
485,0.387625,0.2391438,0.2550203
486,0.4261683,0.2237121,0.2591493
487,0.4319271,0.1900066,0.2658174
488,0.430118,0.1491977,0.2685902
489,0.4180088,0.1204242,0.2663515
490,0.4021486,0.1045411,0.2644267
491,0.3735401,0.08372614,0.2673406
492,0.3440508,0.09729072,0.2649641
493,0.3369606,0.1834105,0.2622415
494,0.3240938,0.263965,0.2592387
495,0.3255965,0.248962,0.2627562
496,0.3150859,0.2543903,0.2582076
497,0.3072703,0.2790392,0.2553946
498,0.3227965,0.3125061,0.2533392
499,0.2867936,0.319909,0.2514926
500,0.2735221,0.3067204,0.2531196
501,0.2653333,0.269557,0.2505078
502,0.2582037,0.2372916,0.2558709
503,0.2267962,0.2444366,0.2607535
504,0.2290029,0.2537255,0.2707548
505,0.2027232,0.2794997,0.280349
506,0.1768222,0.2958477,0.2917717
507,0.1168487,0.3044891,0.3111827
508,0.1022664,0.3060378,0.3304298
509,0.1311671,0.3035241,0.3552044
510,0.1582189,0.3010305,0.3761891
511,0.1930702,0.312541,0.3910572
512,0.223106,0.3463089,0.405892
513,0.2243254,0.355142,0.4079202
514,0.2265429,0.3782095,0.4145734
515,0.2548196,0.381077,0.420524
516,0.2849678,0.3784088,0.4307395
517,0.3227232,0.3967487,0.438234
